번호,지역,도서관명,주소,운영상태,홈페이지
513,서울,서울 광진아차산숲속도서관,서울특별시 광진구 워커힐로 127 ,시행중 ,https://www.gwangjinlib.seoul.kr 
512,서울,서울 동대문휘경행복도서관,서울특별시 동대문구 장안벚꽃로 323 ,시행중 ,https://www.l4d.or.kr/hgh/ 
511,서울,서울 도봉원당마을한옥도서관,서울특별시 도봉구 해등로32가길 17 ,시행중 ,https://www.unilib.dobong.kr/main.do 
510,서울,서울 구로미래도서관,서울특별시 구로구 새말로 111 구로미래도서관 ,시행중 ,https://lib.guro.go.kr/#/about/gulib/lib13 
509,서울,서울 강남논현문화마루도서관,"서울특별시 강남구 논현로131길 40,  4~ 5층 ",시행중 ,https://library.gangnam.go.kr/nmmlib/index.do 
508,서울,서울 중랑구행복터작은도서관,서울특별시 중랑구 답십리로81길 35 ,시행중 ,https://www.jungnanglib.seoul.kr/intro/menu/10089/program/30058/smallLibList.do?libType=G 
507,서울,서울 광진군자동도서관,"서울특별시 광진구 면목로 13, 군자동복합청사 1층 ",시행중 ,https://www.gwangjinlib.seoul.kr 
506,서울,서울 폭포책방아름인도서관,서울특별시 서대문구 연희로 262-32 ,시행중 ,https://lib.sdm.or.kr 
505,서울,서울 중랑구장미마을소망작은도서관,서울특별시 중랑구 묵동 240-75번지 ,시행중 , 
504,서울,서울 동작구신대방누리도서관,서울특별시 동작구 시흥대로 606 ,시행중 ,https://lib.dongjak.go.kr 
503,서울,서울 용두어울림작은도서관,서울특별시 동대문구 무학로 89 1층 ,시행중 ,https://www.l4d.or.kr/small/index.do 
502,서울,서울 강동구북카페도서관다독다독강일점,"서울특별시 강동구 강동구 아리수로93가길 110, 1층 작은도서관 ",시행중 ,https://gdlibrary.or.kr/gdbookcafe/index.do 
501,서울,서울 원지공원도서관,서울특별시 영등포구 도림로47길 23 원지공원도서관 ,시행중 ,https://www.ydplib.or.kr 
500,서울,서울 구로구고척열린도서관,"서울특별시 구로구 경인로43길 49 MD동 3,4층 고척열린도서관 ",시행중 ,https://lib.guro.go.kr/#/ 
499,서울,서울 양천구모새미작은도서관,서울특별시 양천구 목동중앙서로7길 16-18 모새미작은도서관 ,시행중 ,https://lib.yangcheon.or.kr/small/ 
498,서울,서울 영등포조롱박작은도서관,서울특별시 영등포구 대림동  8길조롱박작은도서관 ,시행중 ,https://www.ydplib.or.kr/jlblib/index.do 
497,서울,서울 구로구항동푸른도서관,서울특별시 구로구 연동로 290-46 항동푸른도서관 ,시행중 ,https://www.instagram.com/hdlibrary/ 
496,서울,서울 강서구솔뫼작은도서관,서울특별시 강서구 가로공원로77길 30 2층 ,시행중 , 
495,서울,서울 강서구가람작은도서관,서울특별시 강서구 양천로57길 36 ,시행중 , 
494,서울,서울 강서구초록동작은도서관 ,"서울특별시 강서구 초록마을로14길 36, 2층 ",시행중 , 
493,서울,서울 강서구꿈자람책놀이터작은도서관 ,서울특별시 강서구 개화동로21길 4 방화11사회복지관 1층 ,시행중 , 
492,서울,서울 강서구해뜰작은도서관 ,서울특별시 강서구 방화대로48길 40 방화2종합사회복지관 3층 ,시행중 , 
491,서울,서울 강서구옹기종기작은도서관 ,서울특별시 강서구 공항대로61길 50 염창지역정보센터 내 ,시행중 , 
490,서울,서울 강서구수명산작은도서관 ,서울특별시 강서구 수명로1길 131 내발산동공공기숙사 ,시행중 , 
489,서울,서울 강서구방그리나작은도서관 ,서울특별시 강서구 금낭화로24길 5 방화3동주민센터 2층 ,시행중 , 
488,서울,서울 강서구채움작은도서관 ,서울특별시 강서구 개화동로23길 20 방화2동주민센터 2층 ,시행중 , 
487,서울,서울 강서구글벗누리작은도서관 ,서울특별시 강서구 방화동로 124 방화1동주민센터 2층 ,시행중 , 
486,서울,서울 강서구송정작은도서관 ,서울특별시 강서구 송정로 45 공항동주민센터 2층 ,시행중 , 
485,서울,서울 강서구책향기작은도서관 ,서울특별시 강서구 강서로47길 54 발산1동주민센터 2층 ,시행중 , 
484,서울,서울 강서구도리샘작은도서관 ,서울특별시 강서구 허준로 202 가양3동주민센터 2층 ,시행중 , 
483,서울,서울 강서구허준마을작은도서관 ,서울특별시 강서구 허준로 93 가양2동주민센터 2층 ,시행중 , 
482,서울,서울 강서구도란도란쉼터작은도서관 ,서울특별시 강서구 허준로 30 가양1동주민센터 2층 ,시행중 , 
481,서울,서울 강서구내발산작은도서관 ,서울특별시 강서구 강서로52길 89 내발산문화센터 5층 ,시행중 , 
480,서울,서울 강서구배다리작은도서관 ,서울특별시 강서구 곰달래로25길 45 화곡8동주민센터 2층 ,시행중 , 
479,서울,서울 강서구역마을작은도서관 ,서울특별시 강서구 화곡로 312 화곡6동주민센터 2층 ,시행중 , 
478,서울,서울 강서구볏고을작은도서관 ,서울특별시 강서구 곰달래로57가길 26 화곡4동주민센터2층 ,시행중 , 
477,서울,서울 강서구책마루작은도서관 ,서울특별시 강서구 강서로33가길 17 화곡3동주민센터 2층 ,시행중 , 
476,서울,서울 강서구옹달샘작은도서관 ,서울특별시 강서구 곰달래로37길 13 화곡2동주민센터 2층 ,시행중 , 
475,서울,서울 강서구꿈터작은도서관 ,서울특별시 강서구 곰달래로 79 화곡1동주민센터 3층 ,시행중 , 
474,서울,서울 강서구초록향기작은도서관 ,서울특별시 강서구 초록마을로5길 29 화곡본동주민센터 2층 ,시행중 , 
473,서울,서울 강서구큰마음작은도서관 ,서울특별시 강서구 화곡로63길 96 등촌3동주민센터 2층 ,시행중 , 
472,서울,서울 강서구등마루골작은도서관 ,서울특별시 강서구 등촌로 143 등촌2동주민센터 2층 ,시행중 , 
471,서울,서울 강서구생각열매작은도서관 ,서울특별시 강서구 공항대로53가길 55 등촌1동주민센터 2층 ,시행중 , 
470,서울,서울 강서구아리향기작은도서관 ,서울특별시 강서구 양천로67가길 63 염창동주민센터 2층 ,시행중 , 
469,서울,서울 강서구푸른들청소년도서관,서울특별시 강서구 강서로45다길 71 ,시행중 , 
468,서울,서울 강서구우장산숲속도서관 ,"서울특별시 강서구 우현로34, 4층 ",시행중 , 
467,서울,서울 강서구꿈꾸는어린이도서관 ,서울특별시 강서구 공항대로 615 ,시행중 , 
466,서울,서울 강서구길꽃어린이도서관 ,서울특별시 강서구 금낭화로24길 5 ,시행중 , 
465,서울,서울 강서구곰달래도서관 ,"서울특별시 강서구 강서로5길 50, 5-6층 ",시행중 , 
464,서울,서울 강서구강서영어도서관 ,"서울특별시 강서구 곰달래로57가길 26, 2층 ",시행중 , 
463,서울,서울 강서구가양도서관 ,서울특별시 강서구 양천로61길 101 ,시행중 , 
462,서울,서울 강서구등빛도서관 ,서울특별시 강서구 강서로62길 48 ,시행중 , 
461,서울,서울 강남구립개포하늘꿈도서관,서울특별시 강남구 개포로 110길 54 강남구립개포하늘꿈도서관 ,시행중 ,https://library.gangnam.go.kr/hnkklib 
460,서울,서울 제기동감초마을현진건기념도서관,서울특별시 동대문구 약령시로9길 45 4층~5층 ,시행중 ,https://www.l4d.or.kr/jghl 
459,서울,서울 서초구립방배숲환경도서관,서울특별시 서초구 방배동 126-1 서초구립방배숲환경도서관 ,시행중 ,https://forest.seocholib.or.kr 
458,서울,서울 마포나루메타버스도서관,서울특별시 마포구 마포대로 8 호텔 나루 1층 ,시행중 , 
457,서울,서울 강남일원라온영어도서관,서울특별시 강남구 영동대로 22  일원스포츠문화센터 지하1층 ,시행중 ,https://library.gangnam.go.kr/englib 
456,서울,서울 영등포생각공장도서관,서울특별시 영등포구 문래북로 105 영등포생각공장도서관 ,시행중 ,https://www.ydplib.or.kr/sglib/index.do 
455,서울,서울 강동구립북카페도서관다독다독굽은다리역점,서울특별시 강동구 양재대로 1548 3층 ,시행중 ,https://www.gdlibrary.or.kr 
